Device,CPU Count,Model,Prompt Length,New Tokens,llama_cpp_v,Context Length,Decode Threads,Prefill Threads,GPU Layers,auto_gptq_v,Num. Requests,Kernel,memo,Run Name,VRAM (GB),RAM (GB),Quant. Method,Prefill Time (s),Latency (s),Prefill Time (tk/s),Latency (tk/s),Decode Time (s),Decode Time (tk/s),Mem. Usage (GB),Model Size (GB),Batch Size,id,run_time,Load Time (s)
Quadro P1000,12,phi-2-dpo-GPTQ-main,100,100,,,,,,0.6.0,1.0,exllamav2,,eidetic_bullet_hole,3.94,15.35,gptq,[31.158427734375],[75.1317109375],[0.31158427734375],[0.37565855468750003],43.97,0.4397,3328.384512,,,,,
Quadro P1000,12,solar-10.7b-instruct-v1.0.Q4_K_M.gguf,100,100,0.2.32,1100.0,10.0,10.0,0.6,,,,,forty_ninth_raider,3.94,15.35,gguf,3.97,27.55,24.96,7.19,19.5,5.08,4208.984064,6.02,512.0,cmpl-d1df04f0-4d21-4429-a355-cfd251155c3e,14-02-2024_10:59:23,7.76
